epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,12.7356,4.67541,0.01078,0.06471,4.65503,2.914e-05,2.914e-05,2.914e-05
2,21.4376,4.58475,0.02451,0.11961,4.52637,5.33572e-05,5.33572e-05,5.33572e-05
3,31.5826,4.45058,0.07451,0.23627,4.35596,7.16186e-05,7.16186e-05,7.16186e-05
4,41.1933,4.26482,0.14804,0.40784,4.16333,6.6082e-05,6.6082e-05,6.6082e-05
5,50.479,4.09838,0.23431,0.53627,3.99609,5.6776e-05,5.6776e-05,5.6776e-05
6,60.3519,3.94497,0.30784,0.6402,3.85327,4.747e-05,4.747e-05,4.747e-05
7,70.1886,3.8208,0.37843,0.69314,3.72852,3.8164e-05,3.8164e-05,3.8164e-05
8,80.3833,3.71606,0.41373,0.73824,3.63452,2.8858e-05,2.8858e-05,2.8858e-05
9,90.1772,3.64904,0.4402,0.76471,3.57629,1.9552e-05,1.9552e-05,1.9552e-05
10,99.9226,3.59326,0.4598,0.77549,3.53882,1.0246e-05,1.0246e-05,1.0246e-05
